Charter element,Decision to document,Evidence or source,Accountable role,Review trigger,Local decision,Validation source,Status
Purpose and scope,"Define the problems, services, or decision types the PFAC is expected to inform","Strategic priorities; safety priorities; experience/access signals; local needs assessment",Executive sponsor,"Annual review or material scope change",,,Not assessed
Decision rights,"Specify where PFAC input is advisory, where response is required, and where formal approval authority remains elsewhere","Committee charters; governance map; policy workflow","Executive sponsor and governance lead","Committee or governance redesign",,,Not assessed
Agenda intake,"Define how substantive projects reach the PFAC before final decisions are made","Project intake process; annual work plan; safety and quality pipeline",PFAC staff lead,"Quarterly utilization review",,,Not assessed
Representation,"Define who should be represented and how participation barriers will be identified and mitigated","Local population context; current membership; access and participation data","PFAC staff lead with equity/access partner","Semiannual review and workstream change",,,Not assessed
Member support,"Define orientation, training, accessibility, compensation or reimbursement, interpretation, and participation supports","Local policy; member feedback; participation barriers",PFAC staff lead,"Annual review or barrier identified",,,Not assessed
Leadership disposition,"Require accepted, modified, deferred, or declined recommendations to have an owner and documented rationale","Action tracker; meeting minutes; decision records",Decision owner,"Each substantive recommendation",,,Not assessed
Escalation,"Define where unresolved safety, access, equity, or governance concerns move when they cannot be closed at the PFAC level","Governance structure; safety escalation policy; executive pathways",Executive sponsor,"Unresolved or high-risk issue",,,Not assessed
Measurement,"Define structure, process, implementation, report-back, and project-specific measures","PFAC measurement plan; project data sources",Named measurement owner,"Quarterly review",,,Not assessed
Report-back,"Define how patients and families will be told what changed, what did not, why, and what remains open","Action tracker; communications; meeting records","PFAC staff lead and decision owner","Each closed, deferred, or declined item",,,Not assessed
Charter review,"Set a cadence for reviewing whether governance remains fit for purpose","PFAC performance signals; member feedback; organizational changes",Executive sponsor,"At least annually",,,Not assessed
